feature,games,accuracy,log_loss,brier
def_success_rate_l5_diff,3018,0.550364479787939,0.6853107878343384,0.24610317954473304
def_pass_success_ewm_diff,3018,0.5510271703114645,0.6853642676458017,0.24613508259342967
rush_epa_std_diff,3018,0.5540092776673293,0.6853744569340622,0.24606279692108593
def_wp_added_l3_diff,3018,0.5546719681908548,0.6854962560014398,0.24618658195993595
def_completion_rate_l5_diff,3018,0.5540092776673293,0.6855082843776229,0.24618716856667536
def_epa_per_play_l3_diff,3018,0.5546719681908548,0.6855558704794602,0.24621519067336478
def_success_rate_l8_diff,3018,0.5467196819085487,0.6855688174557169,0.24622348131006244
red_zone_td_rate_std_diff,3018,0.5540092776673293,0.6856077007227742,0.24621264191665077
yac_per_completion_l8_diff,3018,0.549039098740888,0.6856733505182904,0.2462794822452381
def_cpoe_l5_diff,3018,0.5540092776673293,0.6856991014932378,0.24629862949651124
rush_epa_l3_diff,3018,0.5470510271703115,0.6857355076589726,0.24632995449719802
def_explosive_pass_rate_ewm_diff,3018,0.5526838966202783,0.6857768279893113,0.24633744536718763
def_early_down_epa_l3_diff,3018,0.5510271703114645,0.6858253608936777,0.24634929352036522
fg_attempt_rate_ewm_diff,3018,0.5543406229290921,0.6858933799206968,0.24638926755261567
def_completion_rate_ewm_diff,3018,0.5563286944996687,0.6858972342612749,0.24638918244532346
def_total_epa_l3_diff,3018,0.5546719681908548,0.6859262125200205,0.24639548124567817
def_drives_l8_diff,3018,0.550364479787939,0.6860177959105566,0.24645895920053593
turnovers_per_drive_std_diff,3018,0.5453943008614976,0.6860281839440125,0.24643288559995283
turnovers_per_drive_ewm_diff,3018,0.5473823724320742,0.6861707758784159,0.2465175962772082
red_zone_td_rate_l5_diff,3018,0.5506958250497018,0.6862188132075131,0.24655856919388255
def_yards_per_play_l3_diff,3018,0.5540092776673293,0.6862221468910334,0.24655063312763448
def_plays_ewm_diff,3018,0.550364479787939,0.6863220306932187,0.24660956142940463
def_success_rate_ewm_diff,3018,0.55168986083499,0.6863313833458734,0.24661915340188553
def_plays_l8_diff,3018,0.5480450629555997,0.6863432658374038,0.24661885614652249
def_qb_hit_rate_l8_diff,3018,0.5530152418820411,0.6863630064599986,0.24661759816658077
fg_attempt_rate_l3_diff,3018,0.5550033134526177,0.6863751037271754,0.2466301457557584
def_first_down_rate_l5_diff,3018,0.5540092776673293,0.6863807322658528,0.24662641827980306
def_drives_ewm_diff,3018,0.5500331345261763,0.6864068129528978,0.2466505756033329
def_plays_l5_diff,3018,0.547713717693837,0.6864610962132615,0.24667723150641024
yac_per_completion_ewm_diff,3018,0.5473823724320742,0.6865536252850931,0.24671779901206017
